name,url,image,price
"Pack of 2 Women Regular Fit Multicolor Viscose Rayon Trousers","https://www.flipkart.com/irha-regular-fit-women-multicolor-trousers/p/itmabbbbd8913d98?pid=TROHBHFUZVGYGCKA&lid=LSTTROHBHFUZVGYGCKAQILYPE&marketplace=FLIPKART&store=clo%2Fcfv%2Fmn6&srno=b_1_1&otracker=browse&fm=organic&iid=en_QyL7yc2xcLZBOBPCcUswMmU0BFrH9UGCU6S7WCSEGynXa6S6kSVOfyHFoC3iNjLH1R60oMqOUD2sblHSUPrZtg%3D%3D&ppt=None&ppn=None&ssid=2yh28ralmo0000001753563399207","https://rukminim2.flixcart.com/image/612/612/xif0q/trouser/v/z/u/m-nu-cmbo-wine-blk-irha-original-imahbhfrpkqajvjx.jpeg?q=70","467"
"Women Regular Fit White Viscose Rayon Trousers","https://www.flipkart.com/srp-collection-regular-fit-women-white-trousers/p/itmfb9717b2d899a?pid=TROH6ZVXZZ5UPGMK&lid=LSTTROH6ZVXZZ5UPGMK2I22DQ&marketplace=FLIPKART&store=clo%2Fcfv%2Fmn6&srno=b_1_2&otracker=browse&fm=organic&iid=en_QyL7yc2xcLZBOBPCcUswMmU0BFrH9UGCU6S7WCSEGykJ0VaOLLhz-4BMP39QMtewfYVBOQ7Qi5AMgz671gBs5w%3D%3D&ppt=None&ppn=None&ssid=2yh28ralmo0000001753563399207","https://rukminim2.flixcart.com/image/612/612/xif0q/trouser/z/f/h/32-ring-calcutta-fashion-original-imahcapzazyvagty.jpeg?q=70","290"
"Pack of 2 Women Relaxed Black Maroon Viscose Rayon Trousers","https://www.flipkart.com/4k-fashion-relaxed-women-black-maroon-trousers/p/itmca596d7dd30a8?pid=TROGYVJ4Z8UPSPQU&lid=LSTTROGYVJ4Z8UPSPQUQLBYUR&marketplace=FLIPKART&store=clo%2Fcfv%2Fmn6&srno=b_1_3&otracker=browse&fm=organic&iid=b9827940-d3bc-408a-80cd-34fc4b0fe038.TROGYVJ4Z8UPSPQU.SEARCH&ppt=None&ppn=None&ssid=2yh28ralmo0000001753563399207","https://rukminim2.flixcart.com/image/612/612/xif0q/trouser/h/6/q/l-print-006-4k-fashion-original-imagyvj4t4yb8gwn.jpeg?q=70","339"
"Women Regular Fit Dark Blue Lycra Blend Trousers","https://www.flipkart.com/libracreations-regular-fit-women-dark-blue-trousers/p/itm282a5d596b0cc?pid=TROHE4HZYJVJYW8U&lid=LSTTROHE4HZYJVJYW8UIFN90Q&marketplace=FLIPKART&store=clo%2Fcfv%2Fmn6&srno=b_1_4&otracker=browse&fm=organic&iid=b9827940-d3bc-408a-80cd-34fc4b0fe038.TROHE4HZYJVJYW8U.SEARCH&ppt=None&ppn=None&ssid=2yh28ralmo0000001753563399207","https://rukminim2.flixcart.com/image/612/612/xif0q/trouser/p/z/r/s-womentrouser-naaz-fashion-original-imahdmzcnqzxprke.jpeg?q=70","290"
"Pack of 2 Women Regular Fit Yellow Pink Viscose Rayon Trousers","https://www.flipkart.com/irha-regular-fit-women-yellow-pink-trousers/p/itmcd2af313e386b?pid=TROGRJ9HUZQUGXGF&lid=LSTTROGRJ9HUZQUGXGFA5K3G0&marketplace=FLIPKART&store=clo%2Fcfv%2Fmn6&srno=b_1_5&otracker=browse&fm=organic&iid=en_QyL7yc2xcLZBOBPCcUswMmU0BFrH9UGCU6S7WCSEGykgKq3-ZlbejDiTT-YGVMVqg0tg_qR7e4dTZ-OY3KjVRA%3D%3D&ppt=None&ppn=None&ssid=2yh28ralmo0000001753563399207","https://rukminim2.flixcart.com/image/612/612/xif0q/shopsy-trouser/p/r/y/free-palazoos-mustard-rani-palazzos-irha-original-imagqus7ykgzcdhd.jpeg?q=70","297"
"Women Flared Light Green Grey White Viscose Rayon Trousers","https://www.flipkart.com/emeros-flared-women-light-green-grey-white-trousers/p/itm5547ab9cef17b?pid=TROGWGUHVZRZYFG8&lid=LSTTROGWGUHVZRZYFG8CFK47D&marketplace=FLIPKART&store=clo%2Fcfv%2Fmn6&srno=b_1_6&otracker=browse&fm=organic&iid=en_QyL7yc2xcLZBOBPCcUswMmU0BFrH9UGCU6S7WCSEGynW4FZov8IRvwR_Y80mOKkxr6D00EHcS02JqvfDlg7q1Q%3D%3D&ppt=None&ppn=None&ssid=2yh28ralmo0000001753563399207","https://rukminim2.flixcart.com/image/612/612/xif0q/trouser/7/t/9/free-emz02090-emeros-original-imagwguhd2hbjtvy.jpeg?q=70","380"
"Women Regular Fit White Lycra Blend Trousers","https://www.flipkart.com/libracreations-regular-fit-women-white-trousers/p/itm59edf70c5dbaa?pid=TROHE4HPGMHYQXDR&lid=LSTTROHE4HPGMHYQXDR1EW0JE&marketplace=FLIPKART&store=clo%2Fcfv%2Fmn6&srno=b_1_7&otracker=browse&fm=organic&iid=b9827940-d3bc-408a-80cd-34fc4b0fe038.TROHE4HPGMHYQXDR.SEARCH&ppt=None&ppn=None&ssid=2yh28ralmo0000001753563399207","https://rukminim2.flixcart.com/image/612/612/xif0q/trouser/y/d/o/s-womentrouser-naaz-fashion-original-imahdmzcytmwk76r.jpeg?q=70","290"
"Women Regular Fit Black Lycra Blend Trousers","https://www.flipkart.com/libracreations-regular-fit-women-black-trousers/p/itm9572ce4f86981?pid=TROHE4HZ2KUEE4FU&lid=LSTTROHE4HZ2KUEE4FUDWMC2N&marketplace=FLIPKART&store=clo%2Fcfv%2Fmn6&srno=b_1_8&otracker=browse&fm=organic&iid=b9827940-d3bc-408a-80cd-34fc4b0fe038.TROHE4HZ2KUEE4FU.SEARCH&ppt=None&ppn=None&ssid=2yh28ralmo0000001753563399207","https://rukminim2.flixcart.com/image/612/612/xif0q/trouser/c/k/v/30-womentrouser38-naaz-fashion-original-imahdmzbrhcutxcz.jpeg?q=70","290"
"Women Regular Fit Black Lycra Blend Trousers","https://www.flipkart.com/libracreations-regular-fit-women-black-trousers/p/itm26712c47cd00a?pid=TROHE4HZYNFZUBY4&lid=LSTTROHE4HZYNFZUBY4BRU453&marketplace=FLIPKART&store=clo%2Fcfv%2Fmn6&srno=b_1_9&otracker=browse&fm=organic&iid=b9827940-d3bc-408a-80cd-34fc4b0fe038.TROHE4HZYNFZUBY4.SEARCH&ppt=None&ppn=None&ssid=2yh28ralmo0000001753563399207","https://rukminim2.flixcart.com/image/612/612/xif0q/trouser/j/b/q/l-womentrouser-naaz-fashion-original-imahdmzbjdcggezq.jpeg?q=70","290"
"Pack of 2 Women Flared Black Maroon Lycra Blend Trousers","https://www.flipkart.com/fashion-bazaar-flared-women-black-maroon-trousers/p/itm7fb00f82e07f8?pid=TROGGRHEH2MBTB7N&lid=LSTTROGGRHEH2MBTB7NQQOQ0H&marketplace=FLIPKART&store=clo%2Fcfv%2Fmn6&srno=b_1_10&otracker=browse&fm=organic&iid=b9827940-d3bc-408a-80cd-34fc4b0fe038.TROGGRHEH2MBTB7N.SEARCH&ppt=None&ppn=None&ssid=2yh28ralmo0000001753563399207","https://rukminim2.flixcart.com/image/612/612/xif0q/trouser/j/b/x/32-ppblack-maroon-fashion-bazaar-original-imah85z3szmpwntz.jpeg?q=70","383"
"Pack of 2 Women Comfort Fit Multicolor Cotton Blend Trousers","https://www.flipkart.com/sunbrust-with-device-comfort-fit-women-multicolor-trousers/p/itm84f943272dad8?pid=TROHD8NF6SEMQXWY&lid=LSTTROHD8NF6SEMQXWYGMNZFG&marketplace=FLIPKART&store=clo%2Fcfv%2Fmn6&srno=b_1_11&otracker=browse&fm=organic&iid=en_QyL7yc2xcLZBOBPCcUswMmU0BFrH9UGCU6S7WCSEGym3Dm1wLxa5W48flH_Hb3mpOnY-nRBWeCQpre2KwcmWFg%3D%3D&ppt=None&ppn=None&ssid=2yh28ralmo0000001753563399207","https://rukminim2.flixcart.com/image/612/612/xif0q/trouser/a/x/h/40-n-tota-plazo2-black-maroon-sunbrust-with-device-original-imahd8nffswkg7r6.jpeg?q=70","398"
"Women Flared Black Viscose Rayon Trousers","https://www.flipkart.com/crazetrend-flared-women-black-trousers/p/itm2b30e26647c8c?pid=TROGBTVZQYF4DHAJ&lid=LSTTROGBTVZQYF4DHAJOUJN6W&marketplace=FLIPKART&store=clo%2Fcfv%2Fmn6&srno=b_1_12&otracker=browse&fm=organic&iid=en_QyL7yc2xcLZBOBPCcUswMmU0BFrH9UGCU6S7WCSEGykLpN1nT1G5wxZjKazZBeChn5mcITzJwdhEMTWghhDmng%3D%3D&ppt=None&ppn=None&ssid=2yh28ralmo0000001753563399207","https://rukminim2.flixcart.com/image/612/612/xif0q/trouser/r/3/1/free-fk-black-flower-mirror2023-f-megastyle-original-imah3xsdvjvgsgzg.jpeg?q=70","323"
"Pack of 2 Women Relaxed Multicolor Lycra Blend Trousers","https://www.flipkart.com/gladly-relaxed-women-multicolor-trousers/p/itmc64e631123968?pid=TROFWEV6JSHQGHTZ&lid=LSTTROFWEV6JSHQGHTZYKALAJ&marketplace=FLIPKART&store=clo%2Fcfv%2Fmn6&srno=b_1_13&otracker=browse&fm=organic&iid=b9827940-d3bc-408a-80cd-34fc4b0fe038.TROFWEV6JSHQGHTZ.SEARCH&ppt=None&ppn=None&ssid=2yh28ralmo0000001753563399207","https://rukminim2.flixcart.com/image/612/612/xif0q/trouser/d/h/2/38-gladly33-35b-1-gladly-original-imagma8xnhphc3hd.jpeg?q=70","310"
"Women Relaxed White Viscose Rayon Trousers","https://www.flipkart.com/fambee-relaxed-women-white-trousers/p/itmd517053f2ff40?pid=TROGXYMEEDRHBWWM&lid=LSTTROGXYMEEDRHBWWMRNIVH3&marketplace=FLIPKART&store=clo%2Fcfv%2Fmn6&srno=b_1_14&otracker=browse&fm=organic&iid=b9827940-d3bc-408a-80cd-34fc4b0fe038.TROGXYMEEDRHBWWM.SEARCH&ppt=None&ppn=None&ssid=2yh28ralmo0000001753563399207","https://rukminim2.flixcart.com/image/612/612/xif0q/trouser/c/u/s/m-fambee-full-chicken-palazzo-02-fambee-original-imagxymdpgh9pxrn.jpeg?q=70","342"
"Women Regular Fit Maroon Lycra Blend Trousers","https://www.flipkart.com/libracreations-regular-fit-women-maroon-trousers/p/itma1a27e71fb44e?pid=TROHE4G8ZJPH46PW&lid=LSTTROHE4G8ZJPH46PW3UKMOY&marketplace=FLIPKART&store=clo%2Fcfv%2Fmn6&srno=b_1_15&otracker=browse&fm=organic&iid=b9827940-d3bc-408a-80cd-34fc4b0fe038.TROHE4G8ZJPH46PW.SEARCH&ppt=None&ppn=None&ssid=2yh28ralmo0000001753563399207","https://rukminim2.flixcart.com/image/612/612/xif0q/trouser/z/z/c/m-lb-trouser-w-12-libracreations-original-imahe4g8uhbyuztm.jpeg?q=70","290"
"Pack of 2 Women Regular Fit Maroon Green Crepe Trousers","https://www.flipkart.com/sark-fashions-regular-fit-women-maroon-green-trousers/p/itm05df49027e929?pid=TROGHAKPDXC8MGBX&lid=LSTTROGHAKPDXC8MGBXCRHSYM&marketplace=FLIPKART&store=clo%2Fcfv%2Fmn6&srno=b_1_16&otracker=browse&fm=organic&iid=b9827940-d3bc-408a-80cd-34fc4b0fe038.TROGHAKPDXC8MGBX.SEARCH&ppt=None&ppn=None&ssid=2yh28ralmo0000001753563399207","https://rukminim2.flixcart.com/image/612/612/xif0q/trouser/x/z/s/free-2pcs-combo-bottle-green-wine-sark-fashion-original-imaghakzxgjzkfje.jpeg?q=70","288"
"Women Regular Fit White Cotton Blend Trousers","https://www.flipkart.com/kavina-regular-fit-women-white-trousers/p/itmb106e77f604fb?pid=TROHE28JWKCJVHGZ&lid=LSTTROHE28JWKCJVHGZJ0IF4Y&marketplace=FLIPKART&store=clo%2Fcfv%2Fmn6&srno=b_1_17&otracker=browse&fm=organic&iid=en_QyL7yc2xcLZBOBPCcUswMmU0BFrH9UGCU6S7WCSEGyn_yKRqZdAL84CFGkOk60xizz8VXEpIBY0Jyx_21G4jtA%3D%3D&ppt=None&ppn=None&ssid=2yh28ralmo0000001753563399207","https://rukminim2.flixcart.com/image/612/612/xif0q/shopsy-trouser/x/o/8/xl-shopsy-00-2503-po1-white-palazzos-mikshaadesigner-original-imahbyjyspzramab.jpeg?q=70","329"
"Pack of 2 Women Regular Fit Multicolor Cotton Blend Trousers","https://www.flipkart.com/kavina-regular-fit-women-multicolor-trousers/p/itmbbe1ffc3952be?pid=TROHE28HGUFHBXEF&lid=LSTTROHE28HGUFHBXEF70QPIA&marketplace=FLIPKART&store=clo%2Fcfv%2Fmn6&srno=b_1_18&otracker=browse&fm=organic&iid=en_QyL7yc2xcLZBOBPCcUswMmU0BFrH9UGCU6S7WCSEGym5Zc5txcFzOZbtq0IntsNhiTM028n5O1u6y-ztPMqDyQ%3D%3D&ppt=None&ppn=None&ssid=2yh28ralmo0000001753563399207","https://rukminim2.flixcart.com/image/612/612/xif0q/trouser/u/x/n/l-00-2503-blue-maroon-po2-royalcrowns-original-imahb7v2msaxjqz8.jpeg?q=70","499"
"Pack of 2 Women Relaxed Black Maroon Viscose Rayon Trousers","https://www.flipkart.com/4k-fashion-relaxed-women-black-maroon-trousers/p/itm0cc9f62a41b86?pid=TROGV8F56XSKGAKM&lid=LSTTROGV8F56XSKGAKMLSK8ML&marketplace=FLIPKART&store=clo%2Fcfv%2Fmn6&srno=b_1_19&otracker=browse&fm=organic&iid=b9827940-d3bc-408a-80cd-34fc4b0fe038.TROGV8F56XSKGAKM.SEARCH&ppt=None&ppn=None&ssid=2yh28ralmo0000001753563399207","https://rukminim2.flixcart.com/image/612/612/xif0q/trouser/w/q/z/l-print-09-4k-fashion-original-imagv8f5nkgc6kmn.jpeg?q=70","347"
"Women Regular Fit White Lycra Blend Trousers","https://www.flipkart.com/libracreations-regular-fit-women-white-trousers/p/itmdf105237c48b6?pid=TROHE4G6BFWU2CDZ&lid=LSTTROHE4G6BFWU2CDZMB2HDN&marketplace=FLIPKART&store=clo%2Fcfv%2Fmn6&srno=b_1_20&otracker=browse&fm=organic&iid=b9827940-d3bc-408a-80cd-34fc4b0fe038.TROHE4G6BFWU2CDZ.SEARCH&ppt=None&ppn=None&ssid=2yh28ralmo0000001753563399207","https://rukminim2.flixcart.com/image/612/612/xif0q/trouser/l/o/v/26-womentrouser-naaz-fashion-original-imahdmzb4sgjzpey.jpeg?q=70","290"
